state_data.timeStamp_state,has_state_data,state_data.state_x,state_data.state_vx,state_data.state_ax,state_data.state_apo
195930814,1,2401.7,192.141,-19.4593,4043.33
195936056,1,2416.32,191.805,-18.9918,4048.0
195941249,1,2431.58,191.59799999999998,-18.92,4057.89
195948257,1,2450.38,191.252,-19.2035,4070.38
195953258,1,2465.59,191.28,-19.2649,4084.4
195958307,1,2480.15,191.15900000000002,-18.8519,4100.36
195963524,1,2495.75,191.107,-18.53,4113.41
195968774,1,2511.31,191.035,-18.3235,4128.55
195973961,1,2526.36,190.885,-18.7413,4143.36
195979179,1,2541.78,190.71200000000002,-18.7553,4156.49
195984397,1,2556.93,190.482,-18.6045,4169.62
195991004,1,2575.31,190.275,-18.0789,4181.8
195997113,1,2592.51,190.21599999999998,-17.8927,4197.48
196002114,1,2607.48,190.275,-18.131,4214.17
196007320,1,2622.8,190.25099999999998,-18.3123,4230.32
196012538,1,2637.67,190.12900000000002,-18.0113,4245.61
196017781,1,2652.71,190.03099999999998,-17.5522,4258.98
196022974,1,2667.93,189.995,-17.3638,4272.86
196029971,1,2686.21,189.80200000000002,-17.4426,4287.86
196034972,1,2700.53,189.813,-17.7748,4303.65
196040016,1,2715.25,189.854,-17.7462,4318.43
196045235,1,2730.48,189.868,-17.317999999999998,4334.06
196050483,1,2745.85,189.895,-17.0311,4349.8
196055671,1,2760.93,189.896,-16.9141,4365.89
196060888,1,2776.23,189.86,-16.9343,4381.3
196066107,1,2791.35,189.765,-17.1067,4396.37
196072712,1,2808.64,189.497,-17.0034,4410.39
196077968,1,2823.55,189.50900000000001,-16.5707,4424.04
196083161,1,2838.51,189.56099999999998,-16.4203,4439.42
196088378,1,2853.24,189.497,-16.4547,4455.46
196093596,1,2867.62,189.343,-16.714000000000002,4469.53
196098839,1,2882.03,189.172,-16.6246,4481.9
196104033,1,2896.5,189.03599999999997,-16.5124,4494.04
196111039,1,2914.58,188.832,-16.1809,4506.78
196116327,1,2929.32,188.916,-16.0186,4522.17
196121544,1,2943.87,188.93400000000003,-16.1035,4538.46
196126763,1,2958.41,188.918,-16.2491,4553.58
196132011,1,2972.97,188.88099999999997,-16.1638,4568.16
196137199,1,2987.48,188.857,-16.1032,4582.47
196142418,1,3002.19,188.805,-15.8583,4596.89
196147635,1,3016.87,188.73,-15.8304,4611.14
196154231,1,3033.71,188.53099999999998,-15.6865,4624.97
196159483,1,3047.98,188.49099999999999,-15.7261,4639.17
196164677,1,3062.06,188.435,-15.7483,4653.13
196169895,1,3076.29,188.33900000000003,-15.683,4666.64
196175114,1,3090.58,188.24,-15.4886,4679.71
196180356,1,3104.88,188.12900000000002,-15.3816,4692.8
196185549,1,3118.9,188.002,-15.2003,4705.71
196192555,1,3136.21,187.738,-15.2106,4718.11
196197556,1,3149.73,187.737,-15.2311,4731.78
196202603,1,3163.3,187.71200000000002,-15.2005,4745.55
196207821,1,3177.4,187.66299999999998,-15.1964,4759.02
196213069,1,3191.46,187.588,-15.1111,4772.65
196218257,1,3205.3,187.50400000000002,-14.9321,4785.85
196223475,1,3219.27,187.38,-14.9623,4798.7
196228693,1,3233.1,187.215,-14.949000000000002,4811.07
196235299,1,3249.47,186.951,-14.9624,4822.68
196240807,1,3263.72,186.838,-14.9651,4835.39
196245815,1,3277.1,186.78400000000002,-14.8649,4848.2
196251033,1,3290.81,186.68099999999998,-14.7005,4861.02
196256251,1,3304.45,186.55200000000002,-14.6479,4873.46
196261493,1,3318.09,186.40900000000002,-14.6248,4885.41
196266686,1,3331.4,186.237,-14.5549,4897.15
196273693,1,3348.19,185.954,-14.5783,4908.12
196278694,1,3361.22,185.924,-14.549000000000001,4920.94
196283739,1,3374.24,185.865,-14.5125,4933.77
196288958,1,3387.52,185.738,-14.4575,4946.14
196294206,1,3400.8,185.59900000000002,-14.3492,4957.75
196299394,1,3413.84,185.446,-14.3202,4969.17
196304611,1,3426.97,185.24900000000002,-14.283,4980.15
196309830,1,3440.05,185.03400000000002,-14.1939,4990.54
