highG_data.timeStamp_highG,has_highG_data,highG_data.ax,highG_data.ay,highG_data.az
210364022,1,0.0429688,0.472656,-2.06055
210366632,1,0.101562,0.488281,-2.0175799999999997
210369240,1,0.111328,0.269531,-0.9238280000000001
210372293,1,0.09179689999999999,0.171875,-0.458984
210374679,1,0.0742188,0.10546900000000001,-0.136719
210377067,1,0.06835939999999999,0.08398439999999999,-0.123047
210379678,1,0.05273440000000001,0.07226560000000001,-0.416016
210382285,1,0.013671899999999999,-0.0625,-1.9628900000000002
210384894,1,-0.00585938,-0.154297,-1.8066400000000002
210387503,1,0.00390625,-0.146484,-1.46289
210392345,1,-0.222656,0.0234375,-0.763672
210394466,1,-0.111328,0.019531200000000002,-0.626953
210397054,1,-0.0742188,0.0410156,-0.765625
210399664,1,-0.027343799999999998,-0.027343799999999998,-1.38477
210402272,1,-0.011718799999999998,-0.011718799999999998,-0.882812
210404882,1,0.013671899999999999,0.0234375,-0.486328
210407490,1,0.0175781,0.0449219,-0.609375
210410100,1,0.00976562,0.0742188,-0.8730469999999999
210412708,1,0.00976562,0.109375,-1.17773
210415342,1,0.05273440000000001,0.136719,-1.75977
210417927,1,0.08398439999999999,0.12109400000000001,-1.5293
210420536,1,0.09179689999999999,0.11328099999999999,-1.05664
210423144,1,0.0742188,0.109375,-0.322266
210425753,1,0.078125,0.09960939999999999,-0.292969
210428362,1,0.10351600000000001,0.125,-0.7441409999999999
210432759,1,0.0976562,0.181641,-1.47656
210434882,1,0.111328,0.1875,-1.49609
210437467,1,0.12109400000000001,0.169922,-1.0625
210440076,1,0.160156,0.125,-1.02539
210442686,1,0.11718800000000001,0.027343799999999998,-1.83398
210445296,1,0.0371094,-0.027343799999999998,-2.2753900000000002
210447904,1,0.0410156,0.0390625,-1.16992
210450513,1,0.0820312,0.06054690000000001,-0.5683590000000001
210453122,1,0.10546900000000001,0.07226560000000001,-0.25195300000000004
210455755,1,0.162109,0.046875,-0.06054690000000001
210458341,1,0.185547,0.0390625,-0.078125
210460950,1,0.378906,-0.109375,-0.882812
210463558,1,0.494141,-0.203125,-1.50977
210466166,1,0.546875,-0.15625,-1.5429700000000002
210468776,1,0.6777340000000001,-0.183594,-1.44531
210473173,1,0.6035159999999999,-0.17968800000000001,-0.960938
210475296,1,0.423828,-0.158203,-0.496094
210477882,1,0.300781,-0.144531,-0.296875
210480933,1,0.40625,-0.11718800000000001,-0.6152340000000001
210483296,1,0.402344,-0.10351600000000001,-0.8574219999999999
210485710,1,0.333984,-0.08789060000000001,-0.7285159999999999
210488319,1,0.316406,-0.0214844,-0.8925780000000001
210490929,1,0.37304699999999996,0.0175781,-1.28125
210493537,1,0.359375,0.00585938,-1.19141
210496170,1,0.205078,0.0234375,-0.460938
210498755,1,0.175781,0.0351562,-0.501953
210501364,1,0.189453,0.08789060000000001,-0.9785159999999999
210503973,1,0.177734,0.111328,-1.03906
210506583,1,0.150391,0.10351600000000001,-1.00781
210509191,1,0.11523399999999999,0.0859375,-0.585938
210513589,1,0.11328099999999999,0.0449219,-0.673828
210515713,1,0.128906,0.05273440000000001,-1.12109
210518297,1,0.12109400000000001,0.0585938,-1.08594
210520905,1,0.07226560000000001,0.03125,-0.5410159999999999
210523514,1,0.0507812,0.00976562,-0.5527340000000001
210526124,1,-0.013671899999999999,-0.0253906,-1.04492
210528732,1,-0.0507812,-0.0410156,-1.5957
210531342,1,-0.00390625,-0.0292969,-1.04883
210533950,1,0.0292969,-0.0175781,-0.6503909999999999
210536583,1,0.0410156,-0.00585938,-0.300781
210539168,1,0.0390625,-0.00195312,-0.169922
210541777,1,-0.019531200000000002,-0.019531200000000002,-0.466797
210544386,1,-0.09375,-0.0488281,-0.7753909999999999
210546996,1,-0.10546900000000001,-0.0703125,-1.00977
210549604,1,-0.0429688,-0.11718800000000001,-0.898438
210554002,1,0.00390625,-0.08398439999999999,-0.308594
210556125,1,0.013671899999999999,-0.08789060000000001,-0.29492199999999996
210558709,1,0.015625,-0.101562,-0.37695300000000004
210561319,1,-0.00585938,-0.171875,-0.6914060000000001
210563929,1,-0.019531200000000002,-0.177734,-0.8574219999999999
210566538,1,-0.013671899999999999,-0.167969,-0.847656
210569149,1,0.019531200000000002,-0.101562,-0.402344
210571758,1,0.0214844,-0.08398439999999999,-0.351562
210574367,1,0.0214844,-0.158203,-0.513672
210577000,1,0.013671899999999999,-0.162109,-0.626953
210579585,1,0.0214844,-0.136719,-0.748047
210582194,1,0.0253906,-0.0644531,-0.8457030000000001
210584804,1,0.027343799999999998,-0.0234375,-0.7558590000000001
210587412,1,0.0429688,0.013671899999999999,-0.546875
210590460,1,0.05273440000000001,0.0351562,-0.611328
210594418,1,0.07226560000000001,0.06835939999999999,-0.964844
210596542,1,0.0742188,0.09570310000000001,-0.7226560000000001
210599125,1,0.07226560000000001,0.0976562,-0.554688
210601734,1,0.0664062,0.123047,-0.623047
210604345,1,0.0703125,0.134766,-0.648438
210606952,1,0.07617189999999999,0.128906,-0.5976560000000001
210609561,1,0.07226560000000001,0.11328099999999999,-0.554688
210612170,1,0.0585938,0.11914100000000001,-0.8261719999999999
210614780,1,0.0488281,0.123047,-0.804688
210617414,1,0.0546875,0.08007810000000001,-0.763672
210619997,1,0.0625,0.0585938,-0.7285159999999999
210622606,1,0.09960939999999999,0.0507812,-0.976562
210625215,1,0.111328,0.0546875,-1.68555
210627825,1,0.0976562,0.07226560000000001,-1.8164099999999999
210630433,1,0.09570310000000001,0.0703125,-0.7089840000000001
210634832,1,0.125,0.0585938,-0.39257800000000004
210636955,1,0.203125,0.0625,-0.6152340000000001
210639540,1,0.28125,0.05273440000000001,-1.1875
210642147,1,0.257812,-0.00585938,-1.6914099999999999
210644757,1,0.21093800000000001,0.0175781,-1.33789
210647366,1,0.16406199999999999,0.0546875,-0.9082030000000001
210649975,1,0.167969,0.136719,-0.417969
210652584,1,0.230469,0.17968800000000001,-0.5664060000000001
210655193,1,0.220703,0.173828,-1.14258
210657827,1,0.154297,0.11328099999999999,-1.57031
210660412,1,0.126953,0.0644531,-2.04688
210663020,1,0.09375,0.130859,-0.828125
210665629,1,0.0898438,0.150391,-0.369141
210668238,1,0.0898438,0.169922,-0.246094
210670847,1,0.0234375,0.28320300000000004,-0.783203
210675244,1,-0.08398439999999999,0.380859,-1.32617
210677367,1,-0.05273440000000001,0.351562,-1.1367200000000002
210679951,1,-0.0078125,0.289062,-0.705078
210682562,1,-0.0253906,0.39257800000000004,-1.11133
210685171,1,-0.101562,0.5,-1.4082
210687780,1,-0.013671899999999999,0.277344,-0.609375
210690389,1,0.06054690000000001,0.265625,-0.501953
210692999,1,0.08007810000000001,0.24218800000000001,-0.5371090000000001
210695607,1,0.09570310000000001,0.220703,-0.7285159999999999
210698241,1,0.11914100000000001,0.21875,-1.03906
210700826,1,0.11328099999999999,0.208984,-1.30664
210703879,1,0.05664059999999999,0.197266,-1.0429700000000002
210706042,1,0.0078125,0.232422,-0.925781
210708652,1,0.05664059999999999,0.203125,-0.9433590000000001
210711261,1,0.205078,0.0703125,-1.39648
210715659,1,0.291016,-0.0976562,-1.50195
210717781,1,0.212891,-0.046875,-0.9746090000000001
210720367,1,0.160156,0.00390625,-0.554688
210722975,1,0.123047,0.0507812,-0.19531199999999999
210725585,1,0.13281199999999999,0.0429688,-0.375
210728193,1,0.492188,0.046875,-1.70898
210730803,1,0.482422,0.07226560000000001,-1.55273
210733411,1,0.378906,0.138672,-1.15234
210736021,1,0.1875,0.14843800000000001,-0.673828
210738654,1,0.0488281,0.21093800000000001,-0.5722659999999999
210741239,1,-0.05273440000000001,0.355469,-0.779297
210743847,1,-0.013671899999999999,0.400391,-2.15625
