rocketState_data.timeStamp_RS,has_rocketState_data,rocketState_data.rocketState0,rocketState_data.rocketState1,rocketState_data.rocketState2,rocketState_data.rocketState3
197053907,1,6,6,6,6
197056516,1,6,6,6,6
197059125,1,6,6,6,6
197061734,1,6,6,6,6
197064343,1,6,6,6,6
197066952,1,6,6,6,6
197069561,1,6,6,6,6
197072170,1,6,6,6,6
197074777,1,6,6,6,6
197077386,1,6,6,6,6
197079995,1,6,6,6,6
197082604,1,6,6,6,6
197086564,1,6,6,6,6
197089173,1,6,6,6,6
197091782,1,6,6,6,6
197094391,1,6,6,6,6
197096998,1,6,6,6,6
197099607,1,6,6,6,6
197102216,1,6,6,6,6
197104825,1,6,6,6,6
197107434,1,6,6,6,6
197110043,1,6,6,6,6
197112584,1,6,6,6,6
197115193,1,6,6,6,6
197117802,1,6,6,6,6
197120411,1,6,6,6,6
197123020,1,6,6,6,6
197126974,1,6,6,6,6
197129583,1,6,6,6,6
197132192,1,6,6,6,6
197134801,1,6,6,6,6
197137410,1,6,6,6,6
197140019,1,6,6,6,6
197142628,1,6,6,6,6
197145224,1,6,6,6,6
197147833,1,6,6,6,6
197150442,1,6,6,6,6
197153051,1,6,6,6,6
197155660,1,6,6,6,6
197158269,1,6,6,6,6
197160878,1,6,6,6,6
197163487,1,6,6,6,6
197167430,1,6,6,6,6
197170039,1,6,6,6,6
197172648,1,6,6,6,6
197175257,1,6,6,6,6
197177866,1,6,6,6,6
197180475,1,6,6,6,6
197183084,1,6,6,6,6
197185693,1,6,6,6,6
197188302,1,6,6,6,6
197190911,1,6,6,6,6
197193520,1,6,6,6,6
197196129,1,6,6,6,6
197198738,1,6,6,6,6
197201347,1,6,6,6,6
197203956,1,6,6,6,6
197207902,1,6,6,6,6
197210511,1,6,6,6,6
197213120,1,6,6,6,6
197215730,1,6,6,6,6
197218338,1,6,6,6,6
197220947,1,6,6,6,6
197223556,1,6,6,6,6
197226165,1,6,6,6,6
197228774,1,6,6,6,6
197231383,1,6,6,6,6
197233992,1,6,6,6,6
197236602,1,6,6,6,6
197239210,1,6,6,6,6
197241819,1,6,6,6,6
197244428,1,6,6,6,6
197248371,1,6,6,6,6
197250980,1,6,6,6,6
197253589,1,6,6,6,6
197256198,1,6,6,6,6
197258808,1,6,6,6,6
197261416,1,6,6,6,6
197264025,1,6,6,6,6
197266634,1,6,6,6,6
197269243,1,6,6,6,6
197271852,1,6,6,6,6
197274461,1,6,6,6,6
197277070,1,6,6,6,6
197279679,1,6,6,6,6
197282288,1,6,6,6,6
197284897,1,6,6,6,6
197288835,1,6,6,6,6
197291444,1,6,6,6,6
197294054,1,6,6,6,6
197296663,1,6,6,6,6
197299272,1,6,6,6,6
197301881,1,6,6,6,6
197304490,1,6,6,6,6
197307099,1,6,6,6,6
197309708,1,6,6,6,6
197312317,1,6,6,6,6
197314926,1,6,6,6,6
197317535,1,6,6,6,6
197320144,1,6,6,6,6
197322753,1,6,6,6,6
197325362,1,6,6,6,6
197329296,1,6,6,6,6
197329897,1,6,6,6,6
197332030,1,6,6,6,6
197334640,1,6,6,6,6
197337189,1,6,6,6,6
197339778,1,6,6,6,6
197342387,1,6,6,6,6
197344996,1,6,6,6,6
197347605,1,6,6,6,6
197350214,1,6,6,6,6
197352823,1,6,6,6,6
197355432,1,6,6,6,6
197358041,1,6,6,6,6
197360648,1,6,6,6,6
197363435,1,6,6,6,6
197366044,1,6,6,6,6
197369754,1,6,6,6,6
197372363,1,6,6,6,6
197374972,1,6,6,6,6
197377581,1,6,6,6,6
197380190,1,6,6,6,6
197382799,1,6,6,6,6
197385408,1,6,6,6,6
