Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-25-21-255,-0.55,1.24,-0.67,0.61,0.46,-1.21,0,-0.06,1.04,41.49,-89.5,223445,0,0,0,0,0.11,0.1,1.07,21.94,206.26,NO SIGN,1,-64,7.78,434,0
2022-5-7--11-25-21-685,-0.56,1.19,-0.64,0.02,1.72,-1.35,0.02,-0.06,1.03,41.49,-89.5,223514,0,0,0,0,0.12,0.08,1.07,21.93,206.08,NO SIGN,1,-84,7.76,434,0
2022-5-7--11-25-22-114,-0.55,1.19,-0.64,0.36,0.6,-1.37,0.01,-0.06,1.04,41.49,-89.5,224270,0,0,0,0,0.12,0.09,1.07,21.94,206.35,NO SIGN,1,-62,7.71,434,0
2022-5-7--11-25-22-544,-0.56,1.18,-0.63,0.21,0.71,-0.62,0.04,-0.06,1.03,41.49,-89.5,223749,0,0,0,0,0.1,0.09,1.07,21.94,206.09,NO SIGN,1,-63,6.81,434,0
2022-5-7--11-25-22-974,-0.56,1.19,-0.64,0.83,1.37,-0.98,0.04,-0.05,1.04,41.49,-89.5,223499,0,0,0,0,0.11,0.08,1.06,21.94,206.09,NO SIGN,1,-76,7.76,434,0
2022-5-7--11-25-23-404,-0.56,1.19,-0.65,1.05,1.18,-1.72,0.01,-0.07,1.05,41.49,-89.5,223416,0,0,0,0,0.1,0.11,1.07,21.94,206.09,NO SIGN,1,-84,7.74,434,0
2022-5-7--11-25-23-833,-0.56,1.19,-0.64,0.42,0.6,-1.43,0.02,-0.08,1.05,41.49,-89.5,223239,0,0,0,0,0.11,0.09,1.07,21.94,206.18,NO SIGN,1,-75,7.77,434,0
2022-5-7--11-25-24-263,-0.57,1.19,-0.65,0.28,0.81,-1.78,0.03,-0.06,1.03,41.49,-89.5,223103,0,0,0,0,0.11,0.06,1.07,21.94,206.35,NO SIGN,1,-70,7.73,434,0
2022-5-7--11-25-24-693,-0.56,1.16,-0.54,0.36,1.5,-1.11,0.02,-0.04,1.02,41.49,-89.5,222034,0,0,0,0,0.11,0.08,1.08,21.94,206.26,NO SIGN,1,-67,7.73,434,0
2022-5-7--11-25-25-123,-0.49,1.08,-0.46,0.03,0.65,-0.53,0.03,-0.06,1.04,41.49,-89.5,222402,0,0,0,0,0.12,0.09,1.07,21.94,206.18,NO SIGN,1,-65,7.77,434,0
2022-5-7--11-25-25-552,-0.48,1.07,-0.42,0.59,1.15,-1.42,0.06,-0.05,1.02,41.49,-89.5,222310,0,0,0,0,0.11,0.08,1.07,21.95,205.75,NO SIGN,1,-65,7.74,434,0
2022-5-7--11-25-25-982,-0.48,1.07,-0.41,-0.03,0.75,-0.22,0.03,-0.04,1.04,41.49,-89.5,221965,0,0,0,0,0.1,0.09,1.07,21.95,205.92,NO SIGN,1,-65,7.74,434,0
2022-5-7--11-25-26-412,-0.48,1.06,-0.4,0.2,0.86,-1.21,0.04,-0.08,1.04,41.49,-89.5,221824,0,0,0,0,0.12,0.1,1.07,21.95,206.1,NO SIGN,1,-66,7.73,434,0
2022-5-7--11-25-26-842,-0.47,1.06,-0.41,0.76,1.29,-1.36,0.05,-0.06,1.04,41.49,-89.5,221382,0,0,0,0,0.1,0.08,1.07,21.95,205.57,NO SIGN,1,-64,7.76,434,0
