serial,tick,ptype,state,v_batt,v_pyro,sense,v_apogee,v_main,ground_pres,ground_accel,accel_plus_g,accel_minus_g,acceleration,speed,height,crc
11047,332.62,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.1875,-1.0625,0,TRUE
11047,333.63,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97659,-29,-29,10,-0.625,-1,-1,TRUE
11047,334.64,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.25,-0.9375,0,TRUE
11047,335.65,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97659,-29,-29,10,-0.75,-1.0625,0,TRUE
11047,336.66,9,2,4.1,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.125,-1.1875,-1,TRUE
11047,337.67,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1.3125,-1,TRUE
11047,338.68,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.3125,-1.1875,-1,TRUE
11047,339.69,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.6875,-1.1875,-1,TRUE
11047,340.7,9,2,4.1,4.21,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.375,-1.0625,-1,TRUE
11047,341.71,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5,-1.0625,-2,TRUE
11047,342.72,9,2,4.09,4.19,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5625,-1,-1,TRUE
11047,343.73,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.0625,-0.75,-1,TRUE
11047,344.74,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97657,-29,-29,10,-0.5,-0.8125,-1,TRUE
11047,345.75,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97657,-29,-29,10,-0.5,-0.875,-1,TRUE
11047,346.76,9,2,4.1,4.18,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.5625,-0.875,-2,TRUE
11047,347.77,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.14,97656,-29,-29,10,-0.8125,-1,-1,TRUE
11047,348.78,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.5,-1.125,-1,TRUE
11047,349.79,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.2,4.2,97656,-29,-29,10,-0.1875,-1.125,-2,TRUE
11047,350.8,9,2,4.1,4.2,0.00 0.00 0.00 4.20,4.14,4.2,97656,-29,-29,10,-0.625,-0.9375,-1,TRUE
