Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-50-48-6,37.10132,-97.44032,387.88,26.87891,1.03125,0.03516,-0.03125,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20605,-2.02917,0,KD9ZMJ,-107,7.9375,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-659,37.10132,-97.44032,387.88,26.87891,1.03125,-0.01563,-0.03906,,,,,1.54614,0.95801,-1.06409,1.25,-2.5,-0.75,-0.80017,1.20447,-2.03528,0,KD9ZMJ,-106,8.0625,,,1002.0625,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-71,37.10132,-97.44032,387.88,26.87891,1.03906,0.01563,-0.03906,,,,,1.54578,0.93152,-1.03772,1.25,-2.5,-0.75,-0.80017,1.20605,-2.02917,0,KD9ZMJ,-107,7.9375,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-724,37.10132,-97.44032,387.88,26.87891,1.05078,0.00391,-0.06641,,,,,1.54614,0.95801,-1.06409,1.25,-2.625,-0.75,-0.8009,1.20911,-2.03906,0,KD9ZMJ,-105,8.1875,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-787,37.10132,-97.44032,387.88,26.87891,1.04688,0.00781,-0.01953,,,,,1.54614,0.95801,-1.06409,1.25,-2.625,-0.75,-0.8009,1.20911,-2.03906,0,KD9ZMJ,-105,8.1875,,,1002.0625,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-852,37.10132,-97.44032,387.88,26.87891,1.03906,0.00391,-0.01172,,,,,1.54614,0.95801,-1.06409,1.25,-2.625,-0.75,-0.8009,1.20911,-2.03906,0,KD9ZMJ,-105,8.1875,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-919,37.10132,-97.44032,387.88,26.87891,1.04297,-0.01172,-0.00781,,,,,1.54614,0.95801,-1.06409,1.25,-2.625,-0.75,-0.8009,1.20911,-2.03906,0,KD9ZMJ,-105,8.1875,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-48-984,37.10132,-97.44032,387.88,26.88672,1.02344,-0.00781,-0.03906,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.625,-0.80237,1.21021,-2.04333,0,KD9ZMJ,-111,8.375,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-113,37.10132,-97.44032,387.88,26.88672,1.03906,0.02734,-0.05469,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.625,-0.80237,1.21021,-2.04333,0,KD9ZMJ,-111,8.375,,,1002.0625,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-180,37.10132,-97.44032,387.88,26.88672,1.05078,0.01172,-0.03516,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.625,-0.80237,1.21021,-2.04333,0,KD9ZMJ,-111,8.375,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-49-245,37.10132,-97.44032,387.88,26.89844,1.03516,0.05078,-0.04297,,,,,1.54614,0.95801,-1.06409,1.375,-2.5,-0.75,-0.80347,1.21277,-2.04041,0,KD9ZMJ,-110,8.375,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
